date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:40:12	34219/34219	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-85ab%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/context-menu.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/context-menu.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:12	40696/40696	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-9ef8%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/slider.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/slider.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:12	39745/39745	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-9b41%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/carousel.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/carousel.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:12	31906/31906	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-7ca2%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/colcade.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/colcade.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:13	33245/33245	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-81dd%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/loaders.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/ui-features/loaders.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:13	63157/63157	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-f6b5%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/forms/basic_elements.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/forms/basic_elements.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:13	53113/53113	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-cf79%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/forms/advanced_elements.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/forms/advanced_elements.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:13	35648/35648	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-8b40%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/forms/validation.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/forms/validation.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:14	36148/36148	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-8d34%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/forms/wizard.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/forms/wizard.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
01:40:14	31338/31338	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9b02b-7a6a%22	https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/forms/text_editor.html	C:/My%20Web%20Sites/addmin%20new/demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/pages/forms/text_editor.html	(from https://demo.bootstrapdash.com/skydash/template/demo/vertical-default-dark/index.html)
